evidence_id,tier,source_name,source_type,title,source_url,published_date,captured_date,entity_count,entities,facts_supported,relationships_supported,strategic_questions
ev-abb-varieties,tier-1,Advanced Berry Breeding B.V.,company_website,Advanced Berry Breeding - Varieties,https://www.abbreeding.nl/varieties/,,2026-08-04,3,"Advanced Berry Breeding B.V.; Plantas de Navarra, S.A.; Netherlands",1,1,sq-public-record-gaps; sq-global-genetics-reach
ev-abn-costa-history,tier-1,Australian Business Register,government_registry,ABN Lookup - historical details for ABN 68 151 363 129,https://abr.business.gov.au/AbnHistory/View/68151363129,,2026-08-04,2,Costa Group Holdings Pty Ltd; Australia,1,0,sq-public-record-gaps
ev-agrovision-10-years-2024,tier-1,PR Newswire (Agrovision Corp.),company_press_release,Agrovision celebrates 10 years of bringing the world a better berry,https://www.prnewswire.com/news-releases/agrovision-celebrates-10-years-of-bringing-the-world-a-better-berry-302052244.html,2024-02-05,2026-08-04,9,"Agrovision Corp. (Fruitist); Big Skye; Fruitist; Peru; SEKOYA; Fall Creek Farm & Nursery, Inc.; Mexico; Morocco; China",5,1,sq-competitor-expansion; sq-global-genetics-reach
ev-cafc-driscolls-25-1747,tier-1,United States Court of Appeals for the Federal Circuit (via Justia),court_record,"Federal Circuit order, Driscoll's Inc. v. California Berry Cultivars, No. 25-1747",https://law.justia.com/cases/federal/appellate-courts/cafc/25-1747/25-1747-2025-06-23.html,2025-06-23,2026-08-04,1,"Driscoll's, Inc.",2,0,sq-public-record-gaps
ev-cfia-blueberry-index,tier-1,Canadian Food Inspection Agency,government_registry,Plant Breeders' Rights - blueberry variety index,https://active.inspection.gc.ca/english/plaveg/pbrpov/cropreport/ble.shtml,,2026-08-04,16,"Canadian Food Inspection Agency; Driscoll's, Inc.; Berry Blue, LLC; Keepsake; Medallion; Arana; Canada; USPP024807P3; Michigan Blueberry Growers Association; USPP032574P3; DrisBlueTwentyOne; USPP032267P2; Costa Group Holdings Pty Ltd; Plantas de Navarra, S.A.; Hortifrut S.A.; Advanced Berry Breeding B.V.",5,2,sq-public-record-gaps; sq-global-genetics-reach; sq-emerging-varieties
ev-cfia-pbr-blue-ribbon,tier-1,Canadian Food Inspection Agency,plant_breeders_rights_record,Plant Breeders' Rights record - Blue Ribbon,https://active.inspection.gc.ca/english/plaveg/pbrpov/cropreport/bl/app00008762e.shtml,,2026-08-03,4,"Blue Ribbon; Fall Creek Farm & Nursery, Inc.; Fruit firmness; Eating quality",2,0,sq-premium-trait-challengers; sq-global-genetics-reach; sq-testing-candidates
ev-cfia-pbr-cargo,tier-1,Canadian Food Inspection Agency,plant_breeders_rights_record,Plant Breeders' Rights record - Cargo,https://active.inspection.gc.ca/english/plaveg/pbrpov/cropreport/bl/app00008763e.shtml,,2026-08-03,2,"Cargo; Fall Creek Farm & Nursery, Inc.",0,0,sq-premium-trait-challengers; sq-global-genetics-reach; sq-testing-candidates
ev-cfia-pbr-drisblueseventeen,tier-1,Canadian Food Inspection Agency,plant_breeders_rights_record,Canada PBR certificate 7097 - 'DrisBlueSeventeen' (Carlotta),https://active.inspection.gc.ca/english/plaveg/pbrpov/cropreport/bl/app00011322e.shtml,2024-05-03,2026-08-04,11,"DrisBlueSeventeen; Canada PBR certificate 7097; Driscoll's, Inc.; Driscoll's blueberry breeding programme; Canadian Food Inspection Agency; Fruit firmness; Fruit size; Eating quality; Portugal; Canada; United States",2,3,sq-testing-candidates; sq-repeated-trait-claims; sq-public-record-gaps
ev-cfia-pbr-drisbluetwentythree,tier-1,Canadian Food Inspection Agency,plant_breeders_rights_record,Canada PBR certificate 7211 - 'DrisBlueTwentyThree' (Rosita),https://active.inspection.gc.ca/english/plaveg/pbrpov/cropreport/bl/app00011977e.shtml,2024-11-01,2026-08-04,10,"DrisBlueTwentyThree; Canada PBR certificate 7211; Driscoll's, Inc.; Driscoll's blueberry breeding programme; Canadian Food Inspection Agency; Fruit firmness; Fruit size; Eating quality; Canada; United States",2,2,sq-testing-candidates; sq-repeated-trait-claims; sq-public-record-gaps
ev-cfia-pbr-fc11-164,tier-1,Canadian Food Inspection Agency,plant_breeders_rights_record,Plant Breeders' Rights record - Fc11 164,https://active.inspection.gc.ca/english/plaveg/pbrpov/cropreport/bl/app00012759e.shtml,,2026-08-03,5,"FC11-164; Fall Creek Farm & Nursery, Inc.; Fruit firmness; Machine-harvest suitability; Post-harvest shelf life",3,0,sq-premium-trait-challengers; sq-global-genetics-reach; sq-testing-candidates
